name,mean_score,mean_score_round,weights
e4e9dc4a-bfe4-4790-a910-8b4ab9babbca.jpg,2.0,2.0,1.0
e5d2b180-1a80-4aa8-8208-d27b8299141a.jpg,1.2,1.0,1.0
e894aaa1-261d-49b2-b0fd-6b7620a5d4c7.jpg,2.0,2.0,1.0
ed94334f-3ac0-4a61-bd19-711cdf2f114d.jpg,1.2,1.0,1.0
ed9e7afc-d2d8-4db3-a442-43fd7b64aa85.jpg,2.2,2.0,1.0
f40a7cc1-0922-4153-8eda-e69bc3c89a5d.jpg,1.2,1.0,1.0
f6ff23c4-9a75-4634-9e53-580c50443fb8.jpg,2.2,2.0,1.0
0000494f-1845-431f-a35c-c3c7b97c27ba.jpg,1.25,1.0,1.0
00007382-2659-45ae-ab42-e318703a02f5.jpg,0.5,1.0,1.0
0000ca3e-6355-478f-bcbd-01bed4be1640.jpg,0.5,1.0,1.0
0000e05d-912a-4a99-982c-cb642fe2da0a.jpg,0.75,1.0,1.0
00011f93-c885-4922-920a-4400e470cf2f.jpg,0.25,0.0,1.0
0001d769-4c42-44c0-8c89-fe513124490c.jpg,0.5,1.0,1.0
00024c39-489f-4b50-9a65-15a32bfef1d7.jpg,0.0,0.0,1.0
000250c0-958a-4bdf-b6f8-bc2453bacfcb.jpg,0.33,0.0,1.0
00027556-6780-43ec-bbc7-45565285290f.jpg,0.0,0.0,1.0
0004d05b-0c87-4e56-aecf-e9a9fc3ba86f.jpg,2.5,3.0,1.0
000569bc-cc5c-4bad-8259-9c92ed05db17.jpg,2.33,2.0,1.0
00063f41-6b91-4d00-b525-07cd41dedf5a.jpg,1.0,1.0,1.0
0006bcc4-506c-4c99-994d-46a5fb5895d4.jpg,1.67,2.0,1.0
0006bfe3-4f61-418d-9f17-117411921a84.jpg,0.5,1.0,1.0
00094084-6db0-48f5-81f4-718c16107181.jpg,0.67,1.0,1.0
0009414c-2a78-466c-838c-56c3a57f71cd.jpg,0.25,0.0,1.0
0009828f-fc33-4fbb-b4be-92f575c38ff2.jpg,0.0,0.0,1.0
0009ca0e-2398-4ba1-afe2-db1c6d9d6a38.jpg,2.25,2.0,1.0
0009f40c-b82b-4945-b2eb-90767448174e.jpg,1.75,2.0,1.0
0009fe34-c4fb-41a7-bffe-88ca3d4eac1e.jpg,1.75,2.0,1.0
000a71e1-a4f3-41f7-89e9-15f2a6b5eaf9.jpg,0.5,1.0,1.0
000b1ecd-1c81-40eb-8fe8-7a734035689f.jpg,1.75,2.0,1.0
000b3ff1-5b26-4241-aa98-ca9199a8d934.jpg,1.0,1.0,1.0
000b605b-241a-470d-8a68-7401a4bda59a.jpg,1.67,2.0,1.0
000bde2c-bf41-47d4-a057-4905e1721d49.jpg,1.0,1.0,1.0
000d2766-c6b8-4e5b-bbbf-6ec6f8d2b038.jpg,3.5,4.0,1.0
000e320a-5d7d-4437-a7db-3ac454b35f36.jpg,0.5,1.0,1.0
000e5bfe-d158-4072-b1de-6381bedd3f9c.jpg,1.33,1.0,1.0
000edc40-2651-4854-bdd0-676870491059.jpg,1.75,2.0,1.0
000f168d-9ca7-457b-8428-493a58e8866a.jpg,1.5,2.0,1.0
000f355a-c275-41a3-aa84-dff1909ef401.jpg,0.5,1.0,1.0
000fe3bb-91d4-4d2b-bd03-1e412b0a6b09.jpg,1.33,1.0,1.0
00109622-6506-4458-bad2-72b3ccf612e6.jpg,1.0,1.0,1.0
001098de-954a-48ee-9c6a-8b444a21eca5.jpg,0.75,1.0,1.0
00119fe3-4c71-43bf-adb9-17890a15ca16.jpg,1.0,1.0,1.0
001284b4-70f8-4b77-8a62-3362b99deb3d.jpg,1.0,1.0,1.0
0012b6de-887d-445d-b31f-fc37ed2c2f78.jpg,2.25,2.0,1.0
001374cb-4667-49e5-b8da-90b9629d5d50.jpg,1.0,1.0,1.0
0013fad7-370e-4400-95a0-f52c9c12f9ec.jpg,0.33,0.0,1.0
00143b32-5da0-434d-92c4-3d7cf3b6f793.jpg,1.0,1.0,1.0
0014f3e5-f014-4acd-8edc-40425c74b72b.jpg,1.0,1.0,1.0
00151551-8cd8-450c-a608-652e394b5502.jpg,0.75,1.0,1.0
00157b47-de3f-4802-bd44-42bf4768dc33.jpg,1.5,2.0,1.0
00158907-2e7a-4f5f-87e4-71ded4766225.jpg,0.67,1.0,1.0
0017a820-3187-408c-ab62-1e2d1bc80348.jpg,0.25,0.0,1.0
0017e6a9-e13e-42e3-a712-64190db1a1fb.jpg,1.33,1.0,1.0
0018ef2e-9b57-4c7c-bcb4-909d2d7792af.jpg,0.5,1.0,1.0
00191468-ee75-4780-a6aa-e919d6b8e8a3.jpg,1.33,1.0,1.0
00191c70-dcd5-496d-b75f-9f125cc7f3be.jpg,1.25,1.0,1.0
001a14da-fa72-4ec0-bfc9-c63e576fa9ed.jpg,1.0,1.0,1.0
001a21d6-365e-4767-be51-a8da3874a1dc.jpg,0.5,1.0,1.0
001a3af8-638d-471e-aedd-42251198a0a4.jpg,2.0,2.0,1.0
001a562c-cc40-4303-9cb0-41cc3cae3bc8.jpg,0.5,1.0,1.0
001ae8be-eba7-416f-951d-2f01c0704958.jpg,1.67,2.0,1.0
001b2d20-8e86-4eaf-bdc5-f1fbca23216e.jpg,0.75,1.0,1.0
001b4fb7-4338-473f-974c-1a9cdc6c3124.jpg,2.33,2.0,1.0
001c3038-ae79-41ec-9532-7250c57b057f.jpg,1.75,2.0,1.0
001cabe2-29d2-4e8c-a283-c393a26381c8.jpg,2.67,3.0,1.0
001de978-6b1a-47e5-bfad-35a9445ba781.jpg,0.25,0.0,1.0
001e3917-ed04-42fc-afd1-58f917403e2b.jpg,1.0,1.0,1.0
001e8c3d-81fc-4022-b121-ee0a0accf47a.jpg,0.0,0.0,1.0
